Question_no,term_id,term_ko,label,label_ko,description
Q001,T003,자묘_관리,Operation,농작업,"자묘 수, 위치, 런너 정리를 포함한 관리 작업"
Q001,T004,런너_제거,Operation,농작업,불필요한 런너를 자르거나 정리하는 작업
Q001,T006,적엽,Operation,농작업,잎을 따서 제거하는 작업
Q001,T007,환기_관리,Operation,농작업,창문·환기구를 열고 닫아 공기 흐름을 조절하는 작업
Q001,T008,병해충_방제,Operation,농작업,약제 살포 등으로 병해와 해충을 줄이는 작업
Q002,T001,태양열_소독,Operation,농작업,비닐 피복 후 햇볕으로 토양 온도를 올려 병원균을 줄이는 소독 방법
Q002,T002,증기_소독,Operation,농작업,고온 증기로 토양이나 자재를 소독하는 방법
Q002,T003,토양_소독,Operation,농작업,토양 내 병원균을 줄이기 위한 각종 소독 작업(태양열·증기·약제 등 포함)
Q004,T007,엽면살포,Operation,농작업,비료를 물에 희석해 잎이나 토양에 살포하는 응급 대처 작업
Q004,T008,계획적_추비,Operation,농작업,생육 단계별로 나누어 질소 중심 비료를 계획적으로 주는 관리 작업
Q004,T009,칼슘_공급,Operation,농작업,육묘 기간 동안 칼슘제를 정기적으로 공급하는 예방 관리
Q004,T010,수분_관리,Operation,농작업,관수와 배수를 조절해 과습·건조를 피하고 일정 수분을 유지하는 관리
